Barthou,06:26,07:08,07:30,08:13,08:14,08:43,09:13,09:43,10:13,10:43,11:13,11:43,12:13,12:43,13:13,13:43,14:13,14:43,15:13,15:43,16:13,16:43,17:13,17:39,18:13,18:43,19:24,19:43,20:15,20:54
Octave Butin,06:27,07:09,07:31,08:14,08:15,08:44,09:14,09:44,10:14,10:44,11:14,11:44,12:14,12:44,13:14,13:44,14:14,14:44,15:14,15:44,16:14,16:44,17:14,17:40,18:14,18:44,19:25,19:44,20:16,20:55
Mairie de Margny,06:30,07:12,07:34,08:17,|,08:47,09:17,09:47,10:17,10:47,11:17,11:47,12:17,12:47,13:17,13:47,14:17,14:47,15:17,15:47,16:17,16:47,17:17,17:43,18:17,18:47,19:28,19:47,20:19,20:58
Rue d'Amiens,06:32,07:14,07:36,08:19,|,08:49,09:19,09:49,10:19,10:49,11:19,11:49,12:19,12:49,13:19,13:49,14:19,14:49,15:19,15:49,16:19,16:49,17:19,17:45,18:19,18:49,19:30,19:49,20:21,21:00
Gare Arrivée,06:36,07:18,07:40,08:23,|,08:53,09:23,09:53,10:23,10:53,11:23,11:53,12:23,12:53,13:23,13:53,14:23,14:53,15:23,15:53,16:23,16:53,17:23,17:49,18:23,18:53,19:34,19:53,20:25,21:04
Gare Départ,06:55,07:25,07:55,08:25,|,08:55,09:25,09:55,10:25,10:55,11:25,11:55,12:25,12:55,13:25,13:55,14:25,14:55,15:25,15:55,16:25,16:55,17:25,17:55,18:25,18:55,19:36,20:00,20:25,|
Rue d'Amiens,06:58,07:28,07:58,08:28,|,08:58,09:28,09:58,10:28,10:58,11:28,11:58,12:28,12:58,13:28,13:58,14:28,14:58,15:28,15:58,16:28,16:58,17:28,17:58,18:28,18:58,19:39,20:03,20:28,|
Mairie de Margny,06:59,07:29,07:59,08:29,|,08:59,09:29,09:59,10:29,10:59,11:29,11:59,12:29,12:59,13:29,13:58,14:29,14:59,15:29,15:59,16:29,16:59,17:29,17:59,18:29,18:59,19:40,20:04,20:29,|
Foyer Edith Piaf,07:01,07:31,08:01,08:31,|,09:01,09:31,10:01,10:31,11:01,11:31,12:01,12:31,13:01,13:31,14:01,14:31,15:01,15:31,16:01,16:31,17:01,17:31,18:01,18:31,19:01,19:42,20:06,20:31,|
République,07:02,07:32,08:02,08:32,|,09:02,09:32,10:02,10:32,11:02,11:32,12:02,12:32,13:02,13:32,14:02,14:32,15:02,15:32,16:02,16:32,17:02,17:32,18:02,18:32,19:02,19:43,20:07,20:32,|
Stade Dubois,07:03,07:33,08:03,08:33,|,09:03,09:33,10:03,10:33,11:03,11:33,12:03,12:33,13:03,13:33,14:03,14:33,15:03,15:33,16:03,16:33,17:03,17:33,18:03,18:33,19:03,19:44,20:08,20:33,|
Paramé,|,|,|,|,|,|,|,|,|,11:04,|,12:04,|,|,|,|,|,|,15:34,|,|,|,17:34,|,|,|,|,|,|,|
Jeanne d'Arc,|,|,|,|,|,|,|,|,|,11:05,|,12:05,|,|,|,|,|,|,15:35,|,|,|,17:35,|,|,|,|,|,|,|
Poincaré Centre Commercial,|,|,|,|,|,|,|,|,|,11:07,|,12:07,|,|,|,|,|,|,15:37,|,|,|,17:37,|,|,|,|,|,|,|
La Planchette,|,|,|,|,|,|,|,|,|,11:09,|,12:09,|,|,|,|,|,|,15:39,|,|,|,17:39,|,|,|,|,|,|,|
Collège Debussy,07:04,07:34,08:04,08:34,08:20,09:04,09:34,10:04,10:34,|,11:34,|,12:34,13:04,13:34,14:04,14:34,15:04,|,16:04,16:34,17:04,|,18:04,18:34,19:04,19:45,20:09,20:34,|
Ouïnels,07:04,07:34,08:04,08:34,|,09:04,09:34,10:04,10:34,11:11,11:34,12:11,12:34,13:04,13:34,14:04,14:34,15:04,15:41,16:04,16:34,17:04,17:41,18:04,18:34,19:04,19:45,20:09,20:34,|
