Centre Commercial Jaux Venette,06:13,06:55,07:11,07:54,|,08:24,08:54,09:24,09:54,10:24,10:54,11:24,11:54,12:24,12:54,13:24,13:54,14:24,14:54,15:24,15:54,16:24,16:54,17:20,17:54,18:24,19:05,19:24,19:56,20:35
Camp du Roy,|,|,07:14,07:57,|,08:27,08:57,09:27,09:57,10:27,10:57,11:27,11:57,12:27,12:57,13:27,13:57,14:27,14:57,15:27,15:57,16:27,16:57,17:23,17:57,18:27,19:08,19:27,19:59,20:38
Hauts de Venette,|,06:57,|,08:02,|,|,09:02,|,10:02,|,11:02,|,12:02,|,13:02,|,14:02,|,|,|,16:02,|,17:02,|,18:02,|,19:13,|,20:04,|
Mairie de Venette,|,06:59,|,08:04,|,|,09:04,|,10:04,|,11:04,|,12:04,|,13:04,|,14:04,|,|,|,16:04,|,17:04,|,18:04,|,19:15,|,20:06,|
Multiplexe,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|
Cimetière de Venette,06:16,|,07:20,|,|,08:33,|,09:33,|,10:33,|,11:33,|,12:33,|,13:33,|,14:33,15:02,15:33,|,16:33,|,17:29,|,18:33,|,19:33,|,20:44
Square Nolet,06:17,|,07:21,|,08:05,08:34,|,09:34,|,10:34,|,11:34,|,12:34,|,13:34,|,14:34,15:04,15:34,|,16:34,|,17:30,|,18:34,|,19:34,|,20:45
Hauts de Venette,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|
Mairie de Venette,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|,|
Château de Venette,06:19,07:01,07:23,08:06,08:07,08:36,09:06,09:36,10:06,10:36,11:06,11:36,12:06,12:36,13:06,13:36,14:06,14:36,15:06,15:36,16:06,16:36,17:06,17:32,18:06,18:36,19:17,19:36,20:08,20:47
Castors,06:20,07:02,07:24,08:07,|,08:37,09:07,09:37,10:07,10:37,11:07,11:37,12:07,12:37,13:07,13:37,14:07,14:37,15:07,15:37,16:07,16:37,17:07,17:33,18:07,18:37,19:18,19:37,20:09,20:48
Prairie,06:22,07:04,07:26,08:09,|,08:39,09:09,09:39,10:09,10:39,11:09,11:39,12:09,12:39,13:09,13:39,14:09,14:39,15:09,15:39,16:09,16:39,17:09,17:35,18:09,18:39,19:20,19:39,20:11,20:50
Gymnase de Margny,06:23,07:05,07:27,08:10,|,08:40,09:10,09:40,10:10,10:40,11:10,11:40,12:10,12:40,13:10,13:40,14:10,14:40,15:10,15:40,16:10,16:40,17:10,17:36,18:10,18:40,19:21,19:40,20:12,20:51
Margny de Gaulle,06:24,07:06,07:28,08:11,08:12,08:41,09:11,09:41,10:11,10:41,11:11,11:41,12:11,12:41,13:11,13:41,14:11,14:41,15:11,15:41,16:11,16:41,17:11,17:37,18:11,18:41,19:22,19:41,20:13,20:52
