Compiègne Gare,06:45,07:02,07:31,08:05,08:25,09:00,09:45,10:15,10:45,11:15,11:55,12:15,12:37,13:15,13:45,14:15,14:45,15:15,15:50,16:15,16:45,17:05,17:35,18:25,19:04,19:24,19:40,20:25,20:45,21:10
Solférino,06:48,07:05,07:34,08:08,08:28,09:03,09:48,10:18,10:48,11:18,11:57,12:17,12:39,13:17,13:48,14:18,14:48,15:18,15:53,16:17,16:47,17:07,17:37,18:27,19:06,19:26,19:42,20:27,20:47,21:12
Magenta,06:52,07:09,07:38,08:12,08:32,09:07,09:52,10:22,10:52,11:22,12:01,12:21,12:43,13:21,13:52,14:22,14:52,15:22,15:57,16:21,16:51,17:09,17:41,18:31,19:10,19:30,19:46,20:31,20:51,21:16
Jacques Monod,06:55,07:12,07:41,08:15,08:35,09:10,09:55,10:25,10:55,11:25,12:04,12:24,12:46,13:24,13:55,14:25,14:55,15:25,16:00,16:24,16:54,17:11,17:44,18:34,19:13,19:33,19:49,20:34,20:54,21:19
Salle des Sports,06:56,07:13,07:42,08:16,08:36,09:11,09:56,10:26,10:56,11:26,12:05,12:25,12:47,13:25,13:56,14:26,14:56,15:26,16:01,16:25,16:55,17:12,17:45,18:35,19:14,19:34,19:50,20:35,20:55,21:20
Pommerelles,06:58,07:15,07:44,08:18,08:38,09:13,09:58,10:28,10:58,11:28,12:06,12:26,12:48,13:26,13:58,14:28,14:58,15:28,16:03,16:26,16:56,17:13,17:46,18:36,19:15,19:35,19:51,20:36,20:56,21:21
La Vènerie,06:59,07:16,07:45,08:19,08:39,09:14,09:59,10:29,10:59,11:29,12:07,12:27,12:49,13:27,13:59,14:29,14:59,15:29,16:04,16:27,16:57,17:14,17:47,18:37,19:16,19:36,19:52,20:37,20:57,21:22
Square Bonnault,07:01,07:18,07:47,08:21,08:41,09:16,10:01,10:31,11:01,11:31,12:08,12:28,12:50,13:28,14:01,14:31,15:01,15:31,16:06,16:28,16:58,17:15,17:48,18:38,19:17,19:37,19:53,20:38,20:58,21:23
Justice,07:02,07:19,07:48,08:22,08:42,09:17,10:02,10:32,11:02,11:32,12:09,12:29,12:51,13:29,14:02,14:32,15:02,15:32,16:07,16:29,16:59,17:16,17:49,18:39,19:18,19:38,19:54,20:39,20:59,21:24
Saint Joseph,07:03,07:20,07:49,08:23,08:43,09:18,10:03,10:33,11:03,11:33,12:11,12:31,12:52,13:31,14:03,14:33,15:03,15:33,16:08,16:31,17:01,17:18,17:51,18:41,19:20,19:40,19:56,20:41,21:01,21:26
Glacière,07:05,07:22,07:51,08:25,08:45,09:20,10:05,10:35,11:05,11:35,12:13,12:33,12:54,13:33,14:05,14:35,15:05,15:35,16:10,16:33,17:03,17:20,17:53,18:43,19:22,19:42,19:58,20:43,21:03,21:28
De Lattre de Tassigny,07:06,07:23,07:52,08:26,08:46,09:21,10:06,10:36,11:06,11:36,12:14,12:34,12:55,13:34,14:06,14:36,15:06,15:36,16:11,16:34,17:04,17:21,17:54,18:44,19:23,19:43,19:59,20:44,21:04,21:29
Robida,07:07,07:24,07:53,08:27,08:47,09:22,10:07,10:37,11:07,11:37,12:16,12:36,12:57,13:36,14:07,14:37,15:07,15:37,16:12,16:36,17:06,17:23,17:56,18:46,19:25,19:45,20:01,20:46,21:06,21:31
Weygand,07:08,07:25,07:54,08:28,08:48,09:23,10:08,10:38,11:08,11:38,12:17,12:37,12:58,13:37,14:08,14:38,15:08,15:38,16:13,16:37,17:07,17:24,17:57,18:47,19:26,19:46,20:02,20:47,21:07,21:32
Anatole France,07:10,07:27,07:56,08:30,08:50,09:25,10:10,10:40,11:10,11:40,12:18,12:38,12:59,13:38,14:10,14:40,15:10,15:40,16:15,16:38,17:08,17:25,17:58,18:48,19:27,19:47,20:03,20:48,21:08,21:33
Clos des Roses,07:11,07:28,07:57,08:31,08:51,09:26,10:11,10:41,11:11,11:41,12:19,12:39,13:00,13:39,14:11,14:41,15:11,15:41,16:16,16:39,17:09,17:26,17:59,18:49,19:28,19:48,20:04,20:49,21:09,21:34
Robert Desnos,07:13,07:30,07:59,08:33,08:53,09:28,10:13,10:43,11:13,11:43,12:21,12:41,13:02,13:41,14:13,14:43,15:13,15:43,16:18,16:41,17:11,17:27,18:01,18:51,19:30,19:50,20:06,20:51,21:11,21:36
Rostand,07:14,07:31,08:00,08:34,08:54,09:29,10:14,10:44,11:14,11:44,12:22,12:42,13:03,13:42,14:14,14:44,15:14,15:44,16:19,16:42,17:12,17:28,18:02,18:52,19:31,19:51,20:07,20:52,21:12,21:37
Centre de Recherches,07:14,07:31,08:00,08:34,08:54,09:29,10:14,10:44,11:14,11:44,12:22,12:42,13:03,13:42,14:14,14:44,15:14,15:44,16:19,16:42,17:12,17:28,18:02,18:52,19:31,19:51,20:07,20:52,21:12,21:37
Centre Commercial Royallieu,07:16,07:33,08:02,08:36,08:56,09:31,10:16,10:46,11:16,11:46,12:23,12:43,13:04,13:43,14:16,14:46,15:16,15:46,16:21,16:43,17:13,17:29,18:03,18:53,19:32,19:52,20:08,20:53,21:13,21:38
Vivier Corax,07:18,07:35,08:04,08:38,08:58,09:33,10:18,10:48,11:18,11:48,12:25,12:45,13:05,13:45,14:18,14:48,15:18,15:48,16:23,16:45,17:15,17:30,18:05,18:55,19:34,19:54,20:10,20:55,21:15,21:40
Stalingrad,07:19,07:36,08:05,08:39,08:59,09:34,10:19,10:49,11:19,11:49,12:32,12:52,13:11,13:52,14:19,14:49,15:19,15:49,16:24,16:52,17:16,17:31,18:06,18:56,19:35,19:55,20:11,20:56,21:16,21:41
